%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
98851432800,493,98801429749,map,6.421848297119141,-11.012371063232422,0.0,0.0,0.0,0.2686412036418915,0.9632403254508972
99051445007,494,99001441956,map,6.427913665771484,-11.021261215209961,0.0,0.0,0.0,0.2673903703689575,0.963588297367096
99251457214,495,99201454163,map,6.455448150634766,-11.06520938873291,0.0,0.0,0.0,0.2607611417770386,0.9654033184051514
99451469421,496,99401466370,map,6.501384735107422,-11.139631271362305,0.0,0.0,0.0,0.23734615743160248,0.9714251160621643
99651481628,497,99601478577,map,6.543159484863281,-11.221198081970215,0.0,0.0,0.0,0.26129257678985596,0.9652596712112427
99851493835,498,99801490784,map,6.591342926025391,-11.301919937133789,0.0,0.0,0.0,0.296792596578598,0.954941987991333
100051506042,499,100001502991,map,6.646614074707031,-11.379424095153809,0.0,0.0,0.0,0.3001212477684021,0.9539010524749756
100251518250,500,100201515198,map,6.7012176513671875,-11.456735610961914,0.0,0.0,0.0,0.3000192642211914,0.9539331197738647
100401527405,501,100401527405,map,6.756401062011719,-11.534463882446289,0.0,0.0,0.0,0.2999030351638794,0.9539697170257568
100651542664,502,100601539612,map,6.810279846191406,-11.611566543579102,0.0,0.0,0.0,0.2999144196510315,0.9539660811424255
100851554871,503,100801551819,map,6.864410400390625,-11.688895225524902,0.0,0.0,0.0,0.2999489903450012,0.9539552330970764
101001564026,504,101001564026,map,6.920005798339844,-11.765984535217285,0.0,0.0,0.0,0.2997337579727173,0.9540228843688965
101251579285,505,101201576233,map,6.973697662353516,-11.843308448791504,0.0,0.0,0.0,0.3161475956439972,0.948710024356842
101401588440,506,101401588440,map,7.0296478271484375,-11.918130874633789,0.0,0.0,0.0,0.35329940915107727,0.9355103373527527
101651603699,507,101601600647,map,7.092983245849609,-11.987545013427734,0.0,0.0,0.0,0.3644307553768158,0.9312304854393005
101851615906,508,101801612854,map,7.157001495361328,-12.056649208068848,0.0,0.0,0.0,0.36451494693756104,0.9311975240707397
102001625061,509,102001625061,map,7.220531463623047,-12.125310897827148,0.0,0.0,0.0,0.39008811116218567,0.9207775592803955
102201637268,510,102201637268,map,7.288776397705078,-12.189664840698242,0.0,0.0,0.0,0.4024844169616699,0.9154268503189087
102451652527,511,102401649475,map,7.358058929443359,-12.25331974029541,0.0,0.0,0.0,0.4037911891937256,0.914851188659668
102651664734,512,102601661682,map,7.426357269287109,-12.315207481384277,0.0,0.0,0.0,0.43554821610450745,0.9001653790473938
102851676941,513,102801673889,map,7.498989105224609,-12.371085166931152,0.0,0.0,0.0,0.4697954058647156,0.8827753067016602
103051689148,514,103001686096,map,7.576416015625,-12.421899795532227,0.0,0.0,0.0,0.5038115382194519,0.863813579082489
103251701355,515,103201698303,map,7.658100128173828,-12.467945098876953,0.0,0.0,0.0,0.5368354916572571,0.8436869382858276
103451713562,516,103401710510,map,7.743358612060547,-12.508779525756836,0.0,0.0,0.0,0.5695603489875793,0.8219495415687561
103651725769,517,103601722717,map,7.8314361572265625,-12.54214096069336,0.0,0.0,0.0,0.6011810898780823,0.7991127967834473
103851737976,518,103801734924,map,7.920536041259766,-12.567070960998535,0.0,0.0,0.0,0.6316147446632385,0.7752824425697327
104051750183,519,104001747131,map,8.012199401855469,-12.585321426391602,0.0,0.0,0.0,0.6615265011787415,0.7499217987060547
104201759338,520,104201759338,map,8.105548858642578,-12.59706974029541,0.0,0.0,0.0,0.6909587383270264,0.7228941917419434
104451774597,521,104401771545,map,8.19924545288086,-12.601831436157227,0.0,0.0,0.0,0.718062698841095,0.6959784626960754
104651786804,522,104601783752,map,8.293712615966797,-12.596968650817871,0.0,0.0,0.0,0.7436964511871338,0.6685174703598022
104851799011,523,104801795959,map,8.388847351074219,-12.582113265991211,0.0,0.0,0.0,0.767266571521759,0.6413282752037048
105051811218,524,105001808167,map,8.4920654296875,-12.541797637939453,0.0,0.0,0.0,0.7844528555870056,0.6201884746551514
105201820374,525,105201820374,map,8.597469329833984,-12.601041793823242,0.0,0.0,0.0,0.7943945527076721,0.6074020862579346
105451835632,526,105401832581,map,8.708824157714844,-12.607003211975098,0.0,0.0,0.0,0.8097748160362244,0.5867407321929932
105651847839,527,105601844788,map,8.807247161865234,-12.615195274353027,0.0,0.0,0.0,0.8279311656951904,0.5608296990394592
105851860046,528,105801856995,map,8.89181900024414,-12.579102516174316,0.0,0.0,0.0,0.8520121574401855,0.5235219597816467
106051872253,529,106001869202,map,8.997295379638672,-12.566933631896973,0.0,0.0,0.0,0.8555701375007629,0.5176869034767151
106201881409,530,106201881409,map,9.080787658691406,-12.714537620544434,0.0,0.0,0.0,0.8593288064002991,0.5114235281944275
106451896667,531,106401893616,map,9.145729064941406,-12.771551132202148,0.0,0.0,0.0,0.8639657497406006,0.5035505294799805
106651908875,532,106601905823,map,9.207874298095703,-12.781002044677734,0.0,0.0,0.0,0.8638166785240173,0.5038062334060669
106851921082,533,106801918030,map,9.287227630615234,-12.745229721069336,0.0,0.0,0.0,0.8624351620674133,0.5061675310134888
107051933289,534,107001930237,map,9.37479019165039,-12.70021915435791,0.0,0.0,0.0,0.8622602820396423,0.5064653754234314
107251945496,535,107201942444,map,9.457603454589844,-12.652375221252441,0.0,0.0,0.0,0.8621819019317627,0.5065987706184387
107451957703,536,107401954651,map,9.537601470947266,-12.612044334411621,0.0,0.0,0.0,0.8620946407318115,0.506747305393219
107601966858,537,107601966858,map,9.622085571289062,-12.564935684204102,0.0,0.0,0.0,0.8633160591125488,0.5046635866165161
107851982117,538,107801979065,map,9.672721862792969,-12.525412559509277,0.0,0.0,0.0,0.8662037253379822,0.49969103932380676
108051994324,539,108001991272,map,9.731056213378906,-12.472688674926758,0.0,0.0,0.0,0.8777950406074524,0.4790363907814026
108252006531,540,108202003479,map,9.828239440917969,-12.426870346069336,0.0,0.0,0.0,0.8915213942527771,0.45297864079475403
108402015686,541,108402015686,map,9.90829849243164,-12.36898422241211,0.0,0.0,0.0,0.8916333913803101,0.4527580738067627
108652030945,542,108602027893,map,9.975685119628906,-12.317758560180664,0.0,0.0,0.0,0.8946207761764526,0.4468262493610382
108852043152,543,108802040100,map,10.015861511230469,-12.280048370361328,0.0,0.0,0.0,0.9044616222381592,0.42655500769615173
109052055359,544,109002052307,map,10.060047149658203,-12.268324851989746,0.0,0.0,0.0,0.9093281626701355,0.41607967019081116
109252067566,545,109202064514,map,10.107669830322266,-12.206134796142578,0.0,0.0,0.0,0.9154159426689148,0.40250924229621887
109452079773,546,109402076721,map,10.19607925415039,-12.13987922668457,0.0,0.0,0.0,0.9216756224632263,0.38796141743659973
109602088928,547,109602088928,map,10.267459869384766,-12.080451011657715,0.0,0.0,0.0,0.9220684170722961,0.38702696561813354
109852104187,548,109802101135,map,10.340259552001953,-12.011704444885254,0.0,0.0,0.0,0.9245868921279907,0.38097116351127625
110052116394,549,110002113342,map,10.403732299804688,-11.947362899780273,0.0,0.0,0.0,0.928276002407074,0.3718920052051544
110252128601,550,110202125549,map,10.47311782836914,-11.875219345092773,0.0,0.0,0.0,0.9284372925758362,0.37148916721343994
110452140808,551,110402137756,map,10.491817474365234,-11.764211654663086,0.0,0.0,0.0,0.9297635555267334,0.3681572377681732
